ta000, &, 0.001, &, 32, &, 0.000, &, 38, &,  0.001, &, 35.4
ta001, &, 0.034, &, 1286, &, 0.001, &, 1495, &,  0.000, &, 1335.8
ta002, &, 0.028, &, 1365, &, 0.001, &, 1487, &,  0.001, &, 1390.6
ta003, &, 0.035, &, 1159, &, 0.001, &, 1414, &,  0.000, &, 1177.4
ta004, &, 0.042, &, 1325, &, 0.000, &, 1558, &,  0.001, &, 1363.8
ta005, &, 0.044, &, 1305, &, 0.002, &, 1393, &,  0.000, &, 1311.0
ta006, &, 0.025, &, 1228, &, 0.000, &, 1618, &,  0.001, &, 1261.6
ta007, &, 0.024, &, 1278, &, 0.000, &, 1547, &,  0.001, &, 1297.0
ta008, &, 0.028, &, 1223, &, 0.000, &, 1546, &,  0.000, &, 1259.6
ta009, &, 0.020, &, 1291, &, 0.000, &, 1647, &,  0.000, &, 1320.6
ta010, &, 0.021, &, 1151, &, 0.000, &, 1499, &,  0.001, &, 1191.0
ta011, &, 0.033, &, 1680, &, 0.001, &, 2182, &,  0.000, &, 1725.2
ta012, &, 0.037, &, 1729, &, 0.000, &, 2043, &,  0.000, &, 1757.2
ta013, &, 0.039, &, 1557, &, 0.001, &, 1929, &,  0.000, &, 1605.0
ta014, &, 0.046, &, 1439, &, 0.000, &, 1727, &,  0.001, &, 1474.6
ta015, &, 0.041, &, 1502, &, 0.001, &, 1788, &,  0.000, &, 1548.6
ta016, &, 0.043, &, 1453, &, 0.000, &, 1853, &,  0.001, &, 1501.0
ta017, &, 0.040, &, 1562, &, 0.001, &, 1918, &,  0.000, &, 1605.8
ta018, &, 0.040, &, 1609, &, 0.001, &, 1971, &,  0.000, &, 1641.2
ta019, &, 0.040, &, 1647, &, 0.001, &, 2146, &,  0.000, &, 1671.2
ta020, &, 0.041, &, 1653, &, 0.001, &, 1971, &,  0.000, &, 1705.8
ta021, &, 0.070, &, 2410, &, 0.001, &, 2774, &,  0.002, &, 2494.0
ta022, &, 0.054, &, 2150, &, 0.001, &, 2599, &,  0.001, &, 2234.4
ta023, &, 0.069, &, 2411, &, 0.001, &, 2612, &,  0.000, &, 2460.6
ta024, &, 0.075, &, 2262, &, 0.001, &, 2643, &,  0.000, &, 2316.6
ta025, &, 0.095, &, 2397, &, 0.001, &, 2866, &,  0.002, &, 2448.4
ta026, &, 0.069, &, 2349, &, 0.001, &, 2679, &,  0.001, &, 2383.2
ta027, &, 0.066, &, 2362, &, 0.001, &, 2762, &,  0.001, &, 2401.4
ta028, &, 0.067, &, 2249, &, 0.002, &, 2694, &,  0.000, &, 2331.8
ta029, &, 0.083, &, 2320, &, 0.003, &, 2814, &,  0.000, &, 2376.4
ta030, &, 0.074, &, 2277, &, 0.001, &, 2789, &,  0.000, &, 2326.6
ta031, &, 0.445, &, 2733, &, 0.000, &, 3068, &,  0.003, &, 2733.0
ta032, &, 0.432, &, 2843, &, 0.001, &, 3251, &,  0.001, &, 2864.2
ta033, &, 0.447, &, 2640, &, 0.002, &, 3200, &,  0.001, &, 2659.4
ta034, &, 0.431, &, 2782, &, 0.001, &, 3078, &,  0.002, &, 2788.4
ta035, &, 0.404, &, 2868, &, 0.001, &, 3658, &,  0.001, &, 2885.2
ta036, &, 0.387, &, 2850, &, 0.001, &, 3127, &,  0.001, &, 2859.6
ta037, &, 0.435, &, 2758, &, 0.001, &, 3138, &,  0.001, &, 2836.8
ta038, &, 0.473, &, 2721, &, 0.001, &, 3414, &,  0.001, &, 2750.4
ta039, &, 0.577, &, 2576, &, 0.001, &, 3124, &,  0.000, &, 2601.6
ta040, &, 0.499, &, 2790, &, 0.001, &, 3500, &,  0.001, &, 2794.2
ta041, &, 0.729, &, 3135, &, 0.000, &, 3769, &,  0.000, &, 3178.2
ta042, &, 0.672, &, 3032, &, 0.002, &, 4004, &,  0.002, &, 3102.8
ta043, &, 0.570, &, 2986, &, 0.002, &, 3737, &,  0.002, &, 3026.6
ta044, &, 0.620, &, 3198, &, 0.000, &, 3792, &,  0.000, &, 3237.8
ta045, &, 0.714, &, 3160, &, 0.002, &, 3873, &,  0.002, &, 3205.2
ta046, &, 0.725, &, 3178, &, 0.000, &, 4060, &,  0.003, &, 3239.4
ta047, &, 0.670, &, 3277, &, 0.000, &, 3783, &,  0.003, &, 3292.6
ta048, &, 0.668, &, 3123, &, 0.002, &, 3768, &,  0.000, &, 3154.0
ta049, &, 0.791, &, 3002, &, 0.000, &, 3690, &,  0.003, &, 3058.0
ta050, &, 0.721, &, 3257, &, 0.000, &, 3859, &,  0.003, &, 3282.6
ta051, &, 1.221, &, 4082, &, 0.003, &, 4978, &,  0.003, &, 4102.6
ta052, &, 1.140, &, 3921, &, 0.001, &, 4771, &,  0.004, &, 3966.2
ta053, &, 1.004, &, 3927, &, 0.002, &, 4725, &,  0.003, &, 3998.4
ta054, &, 1.043, &, 3969, &, 0.002, &, 4815, &,  0.003, &, 4021.2
ta055, &, 1.017, &, 3835, &, 0.003, &, 4677, &,  0.003, &, 3912.6
ta056, &, 1.064, &, 3914, &, 0.003, &, 4909, &,  0.003, &, 3956.2
ta057, &, 1.129, &, 3952, &, 0.006, &, 4835, &,  0.003, &, 4023.4
ta058, &, 1.252, &, 3938, &, 0.004, &, 4911, &,  0.004, &, 3969.0
ta059, &, 1.210, &, 3952, &, 0.001, &, 4635, &,  0.004, &, 4012.4
ta060, &, 1.200, &, 4079, &, 0.000, &, 4816, &,  0.003, &, 4117.6
ta061, &, 3.897, &, 5519, &, 0.002, &, 6157, &,  0.002, &, 5532.6
ta062, &, 3.762, &, 5348, &, 0.003, &, 5937, &,  0.003, &, 5360.8
ta063, &, 3.909, &, 5219, &, 0.003, &, 5900, &,  0.002, &, 5239.8
ta064, &, 3.637, &, 5023, &, 0.001, &, 5729, &,  0.003, &, 5033.8
ta065, &, 3.514, &, 5266, &, 0.000, &, 6176, &,  0.003, &, 5295.2
ta066, &, 3.349, &, 5139, &, 0.003, &, 5768, &,  0.000, &, 5178.6
ta067, &, 3.504, &, 5259, &, 0.000, &, 6029, &,  0.000, &, 5267.8
ta068, &, 2.399, &, 5120, &, 0.000, &, 5739, &,  0.000, &, 5140.6
ta069, &, 3.763, &, 5489, &, 0.000, &, 6268, &,  0.003, &, 5510.6
ta070, &, 3.812, &, 5299, &, 0.003, &, 6169, &,  0.003, &, 5346.2
ta071, &, 5.319, &, 5846, &, 0.000, &, 6841, &,  0.000, &, 5893.8
ta072, &, 4.863, &, 5453, &, 0.003, &, 6552, &,  0.003, &, 5485.2
ta073, &, 5.809, &, 5824, &, 0.005, &, 6661, &,  0.004, &, 5855.6
ta074, &, 4.513, &, 5929, &, 0.001, &, 6706, &,  0.002, &, 5984.4
ta075, &, 4.628, &, 5679, &, 0.003, &, 6574, &,  0.003, &, 5681.8
ta076, &, 5.653, &, 5375, &, 0.001, &, 6307, &,  0.000, &, 5413.2
ta077, &, 4.919, &, 5704, &, 0.007, &, 6609, &,  0.005, &, 5739.8
ta078, &, 6.497, &, 5760, &, 0.000, &, 6463, &,  0.003, &, 5810.6
ta079, &, 4.489, &, 6032, &, 0.003, &, 7000, &,  0.006, &, 6044.4
