ta000, &, 0.000, &, 32, &, 0.013, &, 35, &,  0.000, &, 36.0
ta001, &, 0.020, &, 1286, &, 0.000, &, 1501, &,  0.000, &, 1319.0
ta002, &, 0.010, &, 1365, &, 0.000, &, 1425, &,  0.000, &, 1392.2
ta003, &, 0.033, &, 1159, &, 0.000, &, 1331, &,  0.000, &, 1166.8
ta004, &, 0.017, &, 1325, &, 0.000, &, 1717, &,  0.000, &, 1353.6
ta005, &, 0.011, &, 1305, &, 0.003, &, 1489, &,  0.000, &, 1320.4
ta006, &, 0.001, &, 1228, &, 0.000, &, 1529, &,  0.000, &, 1277.4
ta007, &, 0.024, &, 1278, &, 0.000, &, 1498, &,  0.000, &, 1291.8
ta008, &, 0.022, &, 1223, &, 0.000, &, 1498, &,  0.000, &, 1282.0
ta009, &, 0.015, &, 1291, &, 0.000, &, 1617, &,  0.000, &, 1336.2
ta010, &, 0.017, &, 1151, &, 0.000, &, 1442, &,  0.000, &, 1164.6
ta011, &, 0.034, &, 1680, &, 0.000, &, 1985, &,  0.000, &, 1729.4
ta012, &, 0.020, &, 1729, &, 0.000, &, 2084, &,  0.000, &, 1779.6
ta013, &, 0.025, &, 1557, &, 0.000, &, 1959, &,  0.000, &, 1593.4
ta014, &, 0.047, &, 1439, &, 0.000, &, 1726, &,  0.001, &, 1476.8
ta015, &, 0.031, &, 1502, &, 0.000, &, 1891, &,  0.000, &, 1543.4
ta016, &, 0.034, &, 1453, &, 0.000, &, 1790, &,  0.000, &, 1485.8
ta017, &, 0.026, &, 1562, &, 0.000, &, 1961, &,  0.000, &, 1610.2
ta018, &, 0.025, &, 1609, &, 0.000, &, 2007, &,  0.000, &, 1661.0
ta019, &, 0.023, &, 1647, &, 0.000, &, 2047, &,  0.000, &, 1683.2
ta020, &, 0.026, &, 1653, &, 0.002, &, 1925, &,  0.000, &, 1672.4
ta021, &, 0.059, &, 2410, &, 0.000, &, 2802, &,  0.000, &, 2478.2
ta022, &, 0.052, &, 2150, &, 0.000, &, 2800, &,  0.000, &, 2228.4
ta023, &, 0.051, &, 2411, &, 0.000, &, 2812, &,  0.000, &, 2451.4
ta024, &, 0.041, &, 2262, &, 0.001, &, 2605, &,  0.000, &, 2352.4
ta025, &, 0.066, &, 2397, &, 0.001, &, 2739, &,  0.001, &, 2427.6
ta026, &, 0.063, &, 2349, &, 0.000, &, 2553, &,  0.000, &, 2395.6
ta027, &, 0.043, &, 2362, &, 0.001, &, 2629, &,  0.000, &, 2393.0
ta028, &, 0.040, &, 2249, &, 0.000, &, 2730, &,  0.001, &, 2314.2
ta029, &, 0.040, &, 2320, &, 0.001, &, 2651, &,  0.001, &, 2364.0
ta030, &, 0.065, &, 2277, &, 0.003, &, 2762, &,  0.002, &, 2324.2
ta031, &, 0.430, &, 2733, &, 0.000, &, 3119, &,  0.001, &, 2743.0
ta032, &, 0.259, &, 2843, &, 0.000, &, 3259, &,  0.000, &, 2857.4
ta033, &, 0.320, &, 2640, &, 0.002, &, 3148, &,  0.002, &, 2661.4
ta034, &, 0.615, &, 2782, &, 0.000, &, 3141, &,  0.000, &, 2824.4
ta035, &, 0.387, &, 2868, &, 0.000, &, 3392, &,  0.000, &, 2879.4
ta036, &, 0.250, &, 2850, &, 0.000, &, 3263, &,  0.001, &, 2872.0
ta037, &, 0.367, &, 2758, &, 0.001, &, 3141, &,  0.001, &, 2775.4
ta038, &, 0.337, &, 2721, &, 0.001, &, 3153, &,  0.001, &, 2760.0
ta039, &, 0.361, &, 2576, &, 0.000, &, 2866, &,  0.000, &, 2599.8
ta040, &, 0.326, &, 2790, &, 0.001, &, 3167, &,  0.001, &, 2802.2
ta041, &, 0.507, &, 3135, &, 0.000, &, 3768, &,  0.003, &, 3200.6
ta042, &, 0.497, &, 3032, &, 0.002, &, 3767, &,  0.001, &, 3078.8
ta043, &, 0.614, &, 2986, &, 0.003, &, 3600, &,  0.003, &, 3039.2
ta044, &, 0.429, &, 3198, &, 0.001, &, 3826, &,  0.002, &, 3228.6
ta045, &, 0.679, &, 3160, &, 0.002, &, 3859, &,  0.001, &, 3194.8
ta046, &, 0.389, &, 3178, &, 0.001, &, 3733, &,  0.001, &, 3212.8
ta047, &, 1.102, &, 3277, &, 0.002, &, 3752, &,  0.003, &, 3318.8
ta048, &, 0.662, &, 3123, &, 0.001, &, 3797, &,  0.000, &, 3168.2
ta049, &, 0.509, &, 3002, &, 0.003, &, 3701, &,  0.003, &, 3027.6
ta050, &, 0.428, &, 3257, &, 0.001, &, 3927, &,  0.001, &, 3301.4
ta051, &, 0.664, &, 4082, &, 0.003, &, 4880, &,  0.000, &, 4137.6
ta052, &, 0.679, &, 3921, &, 0.003, &, 4662, &,  0.003, &, 3967.2
ta053, &, 0.801, &, 3927, &, 0.002, &, 4829, &,  0.002, &, 3965.8
ta054, &, 0.671, &, 3969, &, 0.003, &, 4695, &,  0.000, &, 4012.0
ta055, &, 0.667, &, 3835, &, 0.003, &, 4774, &,  0.003, &, 3879.8
ta056, &, 0.620, &, 3914, &, 0.002, &, 4602, &,  0.001, &, 3988.4
ta057, &, 0.720, &, 3952, &, 0.002, &, 4807, &,  0.001, &, 4005.6
ta058, &, 0.620, &, 3938, &, 0.000, &, 4610, &,  0.000, &, 3961.2
ta059, &, 0.635, &, 3952, &, 0.000, &, 4780, &,  0.000, &, 3996.8
ta060, &, 0.629, &, 4079, &, 0.002, &, 4743, &,  0.002, &, 4104.2
ta061, &, 2.072, &, 5519, &, 0.001, &, 6097, &,  0.002, &, 5534.0
ta062, &, 2.049, &, 5348, &, 0.001, &, 5892, &,  0.001, &, 5345.8
ta063, &, 2.060, &, 5219, &, 0.002, &, 5912, &,  0.001, &, 5235.2
ta064, &, 2.020, &, 5023, &, 0.003, &, 5478, &,  0.003, &, 5034.0
ta065, &, 2.161, &, 5266, &, 0.001, &, 5816, &,  0.001, &, 5267.2
ta066, &, 2.097, &, 5139, &, 0.001, &, 5691, &,  0.002, &, 5149.4
ta067, &, 1.992, &, 5259, &, 0.001, &, 5961, &,  0.002, &, 5306.6
ta068, &, 2.103, &, 5120, &, 0.001, &, 5759, &,  0.003, &, 5132.6
ta069, &, 1.987, &, 5489, &, 0.001, &, 6045, &,  0.002, &, 5499.2
ta070, &, 1.978, &, 5299, &, 0.001, &, 5925, &,  0.001, &, 5310.0
ta071, &, 3.311, &, 5846, &, 0.002, &, 6631, &,  0.004, &, 5885.0
ta072, &, 3.299, &, 5453, &, 0.002, &, 6777, &,  0.002, &, 5492.2
ta073, &, 3.133, &, 5824, &, 0.001, &, 6734, &,  0.001, &, 5855.2
