ta000, &, 0.000, &, 32, &, 0.000, &, 41, &,  0.000, &, 34.4
ta001, &, 0.028, &, 1286, &, 0.001, &, 1464, &,  0.000, &, 1352.6
ta002, &, 0.017, &, 1365, &, 0.000, &, 1702, &,  0.000, &, 1384.4
ta003, &, 0.016, &, 1159, &, 0.000, &, 1479, &,  0.000, &, 1216.2
ta004, &, 0.001, &, 1325, &, 0.000, &, 1699, &,  0.003, &, 1357.0
ta005, &, 0.001, &, 1305, &, 0.000, &, 1545, &,  0.000, &, 1323.0
ta006, &, 0.017, &, 1228, &, 0.000, &, 1503, &,  0.000, &, 1258.2
ta007, &, 0.017, &, 1278, &, 0.000, &, 1533, &,  0.000, &, 1316.0
ta008, &, 0.033, &, 1223, &, 0.000, &, 1575, &,  0.000, &, 1249.8
ta009, &, 0.000, &, 1291, &, 0.003, &, 1485, &,  0.000, &, 1336.2
ta010, &, 0.000, &, 1151, &, 0.000, &, 1423, &,  0.000, &, 1181.2
ta011, &, 0.049, &, 1680, &, 0.001, &, 2047, &,  0.001, &, 1703.8
ta012, &, 0.032, &, 1729, &, 0.000, &, 1999, &,  0.001, &, 1790.8
ta013, &, 0.024, &, 1557, &, 0.000, &, 1871, &,  0.000, &, 1588.8
ta014, &, 0.021, &, 1439, &, 0.001, &, 1944, &,  0.000, &, 1466.8
ta015, &, 0.023, &, 1502, &, 0.000, &, 1795, &,  0.001, &, 1542.8
ta016, &, 0.026, &, 1453, &, 0.001, &, 1854, &,  0.000, &, 1491.4
ta017, &, 0.021, &, 1562, &, 0.000, &, 1981, &,  0.000, &, 1582.6
ta018, &, 0.029, &, 1609, &, 0.000, &, 2118, &,  0.001, &, 1618.6
ta019, &, 0.023, &, 1647, &, 0.000, &, 1932, &,  0.000, &, 1685.2
ta020, &, 0.025, &, 1653, &, 0.000, &, 2008, &,  0.000, &, 1675.6
ta021, &, 0.043, &, 2410, &, 0.001, &, 2796, &,  0.000, &, 2502.4
ta022, &, 0.056, &, 2150, &, 0.002, &, 2580, &,  0.002, &, 2239.6
ta023, &, 0.130, &, 2411, &, 0.002, &, 2694, &,  0.001, &, 2452.8
ta024, &, 0.136, &, 2262, &, 0.001, &, 2747, &,  0.002, &, 2315.2
ta025, &, 0.145, &, 2397, &, 0.001, &, 2775, &,  0.002, &, 2420.0
ta026, &, 0.119, &, 2349, &, 0.000, &, 2782, &,  0.000, &, 2375.2
ta027, &, 0.071, &, 2362, &, 0.003, &, 2630, &,  0.001, &, 2401.2
ta028, &, 0.051, &, 2249, &, 0.003, &, 2600, &,  0.000, &, 2311.6
ta029, &, 0.050, &, 2320, &, 0.003, &, 2776, &,  0.000, &, 2360.8
ta030, &, 0.101, &, 2277, &, 0.000, &, 2769, &,  0.004, &, 2299.2
ta031, &, 0.321, &, 2733, &, 0.000, &, 3420, &,  0.000, &, 2764.4
ta032, &, 0.258, &, 2843, &, 0.000, &, 3324, &,  0.000, &, 2882.4
ta033, &, 0.624, &, 2640, &, 0.001, &, 3325, &,  0.002, &, 2665.6
ta034, &, 0.578, &, 2782, &, 0.003, &, 3182, &,  0.000, &, 2788.4
ta035, &, 0.257, &, 2868, &, 0.003, &, 3344, &,  0.000, &, 2900.6
ta036, &, 0.368, &, 2850, &, 0.000, &, 3218, &,  0.000, &, 2868.8
ta037, &, 0.557, &, 2758, &, 0.001, &, 3139, &,  0.002, &, 2790.6
ta038, &, 0.706, &, 2721, &, 0.003, &, 3201, &,  0.000, &, 2769.8
ta039, &, 0.360, &, 2576, &, 0.000, &, 2935, &,  0.000, &, 2599.0
ta040, &, 0.350, &, 2790, &, 0.000, &, 3373, &,  0.000, &, 2834.6
ta041, &, 0.937, &, 3135, &, 0.004, &, 3840, &,  0.003, &, 3185.8
ta042, &, 0.487, &, 3032, &, 0.003, &, 3537, &,  0.000, &, 3055.8
ta043, &, 0.435, &, 2986, &, 0.000, &, 3747, &,  0.000, &, 3003.6
ta044, &, 0.937, &, 3198, &, 0.003, &, 3790, &,  0.001, &, 3229.0
ta045, &, 1.034, &, 3160, &, 0.004, &, 3558, &,  0.002, &, 3173.8
ta046, &, 1.004, &, 3178, &, 0.003, &, 3941, &,  0.003, &, 3209.6
ta047, &, 0.603, &, 3277, &, 0.000, &, 3935, &,  0.000, &, 3338.8
ta048, &, 0.604, &, 3123, &, 0.001, &, 4067, &,  0.004, &, 3188.0
ta049, &, 0.554, &, 3002, &, 0.003, &, 3780, &,  0.003, &, 3030.0
ta050, &, 0.528, &, 3257, &, 0.000, &, 3975, &,  0.000, &, 3277.4
ta051, &, 1.540, &, 4082, &, 0.005, &, 4953, &,  0.004, &, 4147.4
ta052, &, 1.055, &, 3921, &, 0.003, &, 4593, &,  0.005, &, 3963.6
ta053, &, 1.367, &, 3927, &, 0.000, &, 4740, &,  0.003, &, 3964.0
ta054, &, 1.167, &, 3969, &, 0.003, &, 5010, &,  0.003, &, 3997.6
ta055, &, 0.799, &, 3835, &, 0.003, &, 4871, &,  0.003, &, 3869.6
ta056, &, 0.966, &, 3914, &, 0.003, &, 4806, &,  0.004, &, 3951.4
ta057, &, 1.028, &, 3952, &, 0.003, &, 4851, &,  0.000, &, 4030.6
ta058, &, 0.674, &, 3938, &, 0.000, &, 4894, &,  0.004, &, 4014.0
ta059, &, 0.814, &, 3952, &, 0.004, &, 4661, &,  0.003, &, 4021.8
ta060, &, 1.387, &, 4079, &, 0.003, &, 4714, &,  0.000, &, 4118.8
ta061, &, 3.852, &, 5519, &, 0.000, &, 6325, &,  0.003, &, 5508.6
ta062, &, 3.744, &, 5348, &, 0.000, &, 5874, &,  0.000, &, 5359.8
ta063, &, 3.933, &, 5219, &, 0.002, &, 5853, &,  0.002, &, 5257.0
ta064, &, 3.545, &, 5023, &, 0.003, &, 5780, &,  0.000, &, 5056.8
ta065, &, 3.121, &, 5266, &, 0.001, &, 6007, &,  0.001, &, 5297.0
ta066, &, 3.842, &, 5139, &, 0.003, &, 5888, &,  0.003, &, 5184.2
ta067, &, 3.804, &, 5259, &, 0.003, &, 5955, &,  0.005, &, 5287.2
ta068, &, 4.228, &, 5120, &, 0.004, &, 5789, &,  0.004, &, 5156.4
ta069, &, 3.558, &, 5489, &, 0.004, &, 6007, &,  0.004, &, 5516.2
ta070, &, 2.695, &, 5299, &, 0.001, &, 5876, &,  0.001, &, 5356.6
ta071, &, 5.452, &, 5846, &, 0.003, &, 6807, &,  0.000, &, 5877.4
ta072, &, 6.969, &, 5453, &, 0.005, &, 6518, &,  0.005, &, 5497.0
ta073, &, 5.773, &, 5824, &, 0.005, &, 6683, &,  0.005, &, 5866.2
ta074, &, 5.381, &, 5929, &, 0.007, &, 7049, &,  0.003, &, 5965.8
ta075, &, 4.888, &, 5679, &, 0.003, &, 6703, &,  0.000, &, 5730.2
ta076, &, 5.038, &, 5375, &, 0.007, &, 6502, &,  0.004, &, 5409.6
ta077, &, 6.856, &, 5704, &, 0.003, &, 6619, &,  0.003, &, 5774.0
ta078, &, 5.735, &, 5760, &, 0.003, &, 7040, &,  0.000, &, 5783.6
ta079, &, 5.707, &, 6032, &, 0.006, &, 6908, &,  0.005, &, 6053.2
