ta000, &, 0.000, &, 32,&, 0.000, &, 32,&, 0.000, &, 32,&, 0.000, &, 32 ,&, 0.000, &, 32
ta001, &, 0.000, &, 1286,&, 0.020, &, 1287,&, 0.010, &, 1288,&, 0.020, &, 1287 ,&, 0.010, &, 1289
ta002, &, 0.020, &, 1365,&, 0.028, &, 1365,&, 0.023, &, 1366,&, 0.020, &, 1366 ,&, 0.010, &, 1377
ta003, &, 0.010, &, 1159,&, 0.015, &, 1159,&, 0.015, &, 1159,&, 0.015, &, 1159 ,&, 0.010, &, 1140
ta004, &, 0.015, &, 1325,&, 0.030, &, 1305,&, 0.020, &, 1305,&, 0.020, &, 1305 ,&, 0.013, &, 1305
ta005, &, 0.000, &, 1305,&, 0.020, &, 1305,&, 0.010, &, 1305,&, 0.020, &, 1305 ,&, 0.010, &, 1305
ta006, &, 0.000, &, 1228,&, 0.020, &, 1210,&, 0.010, &, 1224,&, 0.023, &, 1224 ,&, 0.007, &, 1224
ta007, &, 0.010, &, 1278,&, 0.035, &, 1273,&, 0.030, &, 1273,&, 0.010, &, 1273 ,&, 0.010, &, 1273
ta008, &, 0.000, &, 1223,&, 0.020, &, 1225,&, 0.010, &, 1225,&, 0.020, &, 1225 ,&, 0.010, &, 1223
ta009, &, 0.003, &, 1291,&, 0.020, &, 1280,&, 0.020, &, 1284,&, 0.020, &, 1284 ,&, 0.015, &, 1280
ta010, &, 0.000, &, 1151,&, 0.020, &, 1136,&, 0.020, &, 1136,&, 0.028, &, 1136 ,&, 0.010, &, 1161
ta011, &, 0.010, &, 1680,&, 0.030, &, 1680,&, 0.040, &, 1680,&, 0.040, &, 1680 ,&, 0.045, &, 1680
ta012, &, 0.010, &, 1729,&, 0.020, &, 1729,&, 0.030, &, 1729,&, 0.030, &, 1729 ,&, 0.025, &, 1729
ta013, &, 0.010, &, 1557,&, 0.030, &, 1557,&, 0.030, &, 1574,&, 0.020, &, 1557 ,&, 0.030, &, 1557
ta014, &, 0.010, &, 1439,&, 0.030, &, 1439,&, 0.023, &, 1439,&, 0.030, &, 1439 ,&, 0.023, &, 1439
ta015, &, 0.000, &, 1502,&, 0.030, &, 1516,&, 0.030, &, 1516,&, 0.033, &, 1516 ,&, 0.020, &, 1516
ta016, &, 0.000, &, 1453,&, 0.030, &, 1476,&, 0.033, &, 1490,&, 0.020, &, 1490 ,&, 0.020, &, 1476
ta017, &, 0.010, &, 1562,&, 0.030, &, 1562,&, 0.025, &, 1562,&, 0.030, &, 1562 ,&, 0.018, &, 1562
ta018, &, 0.000, &, 1609,&, 0.020, &, 1620,&, 0.030, &, 1620,&, 0.033, &, 1620 ,&, 0.023, &, 1609
ta019, &, 0.000, &, 1647,&, 0.030, &, 1647,&, 0.033, &, 1647,&, 0.020, &, 1647 ,&, 0.030, &, 1647
ta020, &, 0.010, &, 1653,&, 0.030, &, 1665,&, 0.025, &, 1665,&, 0.030, &, 1665 ,&, 0.023, &, 1653
ta021, &, 0.010, &, 2410,&, 0.060, &, 2410,&, 0.055, &, 2410,&, 0.050, &, 2410 ,&, 0.040, &, 2410
ta022, &, 0.010, &, 2150,&, 0.055, &, 2150,&, 0.050, &, 2150,&, 0.060, &, 2150 ,&, 0.040, &, 2150
ta023, &, 0.010, &, 2411,&, 0.060, &, 2416,&, 0.053, &, 2417,&, 0.058, &, 2417 ,&, 0.040, &, 2417
ta024, &, 0.015, &, 2262,&, 0.053, &, 2262,&, 0.050, &, 2262,&, 0.055, &, 2262 ,&, 0.043, &, 2262
ta025, &, 0.020, &, 2397,&, 0.050, &, 2397,&, 0.050, &, 2397,&, 0.053, &, 2397 ,&, 0.040, &, 2397
ta026, &, 0.020, &, 2349,&, 0.055, &, 2331,&, 0.053, &, 2349,&, 0.050, &, 2349 ,&, 0.040, &, 2349
ta027, &, 0.015, &, 2362,&, 0.055, &, 2416,&, 0.050, &, 2386,&, 0.055, &, 2386 ,&, 0.040, &, 2416
ta028, &, 0.020, &, 2249,&, 0.052, &, 2249,&, 0.050, &, 2249,&, 0.050, &, 2249 ,&, 0.040, &, 2249
ta029, &, 0.020, &, 2320,&, 0.055, &, 2320,&, 0.050, &, 2320,&, 0.050, &, 2320 ,&, 0.040, &, 2320
ta030, &, 0.015, &, 2277,&, 0.050, &, 2277,&, 0.058, &, 2277,&, 0.050, &, 2277 ,&, 0.045, &, 2277
ta031, &, 0.020, &, 2733,&, 0.093, &, 2735,&, 0.085, &, 2735,&, 0.090, &, 2735 ,&, 0.065, &, 2735
ta032, &, 0.020, &, 2843,&, 0.088, &, 2843,&, 0.093, &, 2882,&, 0.090, &, 2882 ,&, 0.070, &, 2843
ta033, &, 0.093, &, 2640,&, 0.123, &, 2637,&, 0.085, &, 2630,&, 0.092, &, 2637 ,&, 0.060, &, 2645
ta034, &, 0.020, &, 2782,&, 0.090, &, 2783,&, 0.100, &, 2783,&, 0.090, &, 2783 ,&, 0.060, &, 2783
ta035, &, 0.075, &, 2868,&, 0.100, &, 2881,&, 0.095, &, 2881,&, 0.085, &, 2881 ,&, 0.070, &, 2881
ta036, &, 0.030, &, 2850,&, 0.082, &, 2850,&, 0.090, &, 2850,&, 0.093, &, 2850 ,&, 0.072, &, 2850
ta037, &, 0.078, &, 2758,&, 0.165, &, 2753,&, 0.095, &, 2753,&, 0.093, &, 2753 ,&, 0.065, &, 2766
ta038, &, 0.020, &, 2721,&, 0.090, &, 2709,&, 0.090, &, 2709,&, 0.093, &, 2709 ,&, 0.063, &, 2709
ta039, &, 0.025, &, 2576,&, 0.088, &, 2592,&, 0.090, &, 2592,&, 0.088, &, 2592 ,&, 0.060, &, 2592
ta040, &, 0.025, &, 2790,&, 0.085, &, 2818,&, 0.093, &, 2818,&, 0.090, &, 2818 ,&, 0.060, &, 2818
ta041, &, 0.102, &, 3135,&, 0.160, &, 3176,&, 0.163, &, 3155,&, 0.165, &, 3155 ,&, 0.120, &, 3176
ta042, &, 0.040, &, 3032,&, 0.165, &, 3037,&, 0.173, &, 3037,&, 0.165, &, 3037 ,&, 0.125, &, 3037
ta043, &, 0.045, &, 2986,&, 0.173, &, 2985,&, 0.173, &, 2985,&, 0.165, &, 3020 ,&, 0.120, &, 2985
ta044, &, 0.050, &, 3198,&, 0.160, &, 3171,&, 0.168, &, 3171,&, 0.170, &, 3171 ,&, 0.128, &, 3171
ta045, &, 0.040, &, 3160,&, 0.175, &, 3137,&, 0.158, &, 3127,&, 0.165, &, 3137 ,&, 0.125, &, 3127
ta046, &, 0.125, &, 3178,&, 0.175, &, 3195,&, 0.160, &, 3195,&, 0.173, &, 3169 ,&, 0.125, &, 3181
ta047, &, 0.050, &, 3277,&, 0.165, &, 3271,&, 0.168, &, 3271,&, 0.173, &, 3271 ,&, 0.120, &, 3271
ta048, &, 0.110, &, 3123,&, 0.165, &, 3200,&, 0.170, &, 3200,&, 0.170, &, 3139 ,&, 0.123, &, 3200
ta049, &, 0.050, &, 3002,&, 0.170, &, 3059,&, 0.158, &, 3059,&, 0.175, &, 3059 ,&, 0.125, &, 3059
ta050, &, 0.155, &, 3257,&, 0.170, &, 3212,&, 0.165, &, 3200,&, 0.175, &, 3200 ,&, 0.120, &, 3212
ta051, &, 0.083, &, 4082,&, 0.320, &, 4048,&, 0.318, &, 4048,&, 0.330, &, 4048 ,&, 0.235, &, 4048
ta052, &, 0.093, &, 3921,&, 0.323, &, 3895,&, 0.320, &, 3895,&, 0.315, &, 3904 ,&, 0.240, &, 3895
ta053, &, 0.210, &, 3927,&, 0.348, &, 3930,&, 0.323, &, 3930,&, 0.333, &, 3930 ,&, 0.248, &, 3930
ta054, &, 0.088, &, 3969,&, 0.325, &, 3999,&, 0.330, &, 3999,&, 0.320, &, 3999 ,&, 0.245, &, 3999
ta055, &, 0.085, &, 3835,&, 0.335, &, 3858,&, 0.320, &, 3915,&, 0.320, &, 3915 ,&, 0.253, &, 3858
ta056, &, 0.088, &, 3914,&, 0.330, &, 3915,&, 0.320, &, 3915,&, 0.328, &, 3915 ,&, 0.250, &, 3915
ta057, &, 0.195, &, 3952,&, 0.340, &, 3983,&, 0.325, &, 3976,&, 0.320, &, 3976 ,&, 0.240, &, 3983
ta058, &, 0.090, &, 3938,&, 0.320, &, 3981,&, 0.320, &, 3981,&, 0.325, &, 3981 ,&, 0.248, &, 3981
ta059, &, 0.093, &, 3952,&, 0.320, &, 3932,&, 0.328, &, 3932,&, 0.333, &, 3932 ,&, 0.240, &, 3932
ta060, &, 0.200, &, 4079,&, 0.343, &, 3955,&, 0.325, &, 3999,&, 0.325, &, 3999 ,&, 0.243, &, 3999
ta061, &, 0.095, &, 5519,&, 0.350, &, 5514,&, 0.348, &, 5519,&, 0.355, &, 5516 ,&, 0.270, &, 5514
ta062, &, 0.095, &, 5348,&, 0.350, &, 5284,&, 0.350, &, 5348,&, 0.340, &, 5348 ,&, 0.260, &, 5284
ta063, &, 0.093, &, 5219,&, 0.350, &, 5202,&, 0.355, &, 5202,&, 0.343, &, 5219 ,&, 0.275, &, 5231
ta064, &, 0.095, &, 5023,&, 0.348, &, 5023,&, 0.355, &, 5023,&, 0.358, &, 5043 ,&, 0.260, &, 5023
ta065, &, 0.095, &, 5266,&, 0.353, &, 5261,&, 0.348, &, 5261,&, 0.348, &, 5261 ,&, 0.265, &, 5261
ta066, &, 0.093, &, 5139,&, 0.345, &, 5139,&, 0.353, &, 5139,&, 0.348, &, 5139 ,&, 0.265, &, 5139
ta067, &, 0.093, &, 5259,&, 0.358, &, 5271,&, 0.350, &, 5271,&, 0.345, &, 5272 ,&, 0.270, &, 5269
ta068, &, 0.093, &, 5120,&, 0.350, &, 5112,&, 0.353, &, 5112,&, 0.363, &, 5112 ,&, 0.268, &, 5112
ta069, &, 0.103, &, 5489,&, 0.343, &, 5489,&, 0.360, &, 5489,&, 0.345, &, 5489 ,&, 0.275, &, 5489
ta070, &, 0.090, &, 5299,&, 0.343, &, 5299,&, 0.350, &, 5305,&, 0.345, &, 5305 ,&, 0.260, &, 5299
ta071, &, 0.175, &, 5846,&, 0.670, &, 5890,&, 0.678, &, 5840,&, 0.663, &, 5833 ,&, 0.493, &, 5902
ta072, &, 0.188, &, 5453,&, 0.660, &, 5423,&, 0.653, &, 5423,&, 0.660, &, 5423 ,&, 0.508, &, 5423
ta073, &, 0.175, &, 5824,&, 0.658, &, 5833,&, 0.670, &, 5833,&, 0.658, &, 5833 ,&, 0.530, &, 5833
ta074, &, 0.275, &, 5929,&, 0.675, &, 5967,&, 0.668, &, 5967,&, 0.655, &, 5943 ,&, 0.508, &, 5967
ta075, &, 0.185, &, 5679,&, 0.655, &, 5681,&, 0.658, &, 5681,&, 0.675, &, 5675 ,&, 0.503, &, 5681
ta076, &, 0.183, &, 5375,&, 0.665, &, 5406,&, 0.663, &, 5425,&, 0.660, &, 5425 ,&, 0.505, &, 5425
ta077, &, 0.175, &, 5704,&, 0.670, &, 5702,&, 0.668, &, 5702,&, 0.665, &, 5702 ,&, 0.510, &, 5702
ta078, &, 0.185, &, 5760,&, 0.658, &, 5784,&, 0.668, &, 5740,&, 0.670, &, 5741 ,&, 0.503, &, 5809
ta079, &, 0.185, &, 6032,&, 0.665, &, 6053,&, 0.663, &, 6053,&, 0.668, &, 6053 ,&, 0.505, &, 6053
ta080, &, 0.185, &, 5918,&, 0.670, &, 5944,&, 0.670, &, 5935,&, 0.660, &, 5934 ,&, 0.505, &, 5944
ta081, &, 0.368, &, 6541,&, 1.300, &, 6598,&, 1.295, &, 6593,&, 1.288, &, 6596 ,&, 0.985, &, 6593
ta082, &, 0.483, &, 6523,&, 1.308, &, 6510,&, 1.308, &, 6510,&, 1.303, &, 6510 ,&, 0.993, &, 6510
ta083, &, 0.353, &, 6639,&, 1.310, &, 6618,&, 1.305, &, 6618,&, 1.295, &, 6618 ,&, 0.985, &, 6618
ta084, &, 0.428, &, 6557,&, 1.293, &, 6564,&, 1.305, &, 6607,&, 1.293, &, 6625 ,&, 0.978, &, 6564
ta085, &, 0.355, &, 6695,&, 1.298, &, 6730,&, 1.288, &, 6628,&, 1.285, &, 6628 ,&, 0.985, &, 6629
ta086, &, 0.363, &, 6664,&, 1.293, &, 6742,&, 1.290, &, 6714,&, 1.310, &, 6714 ,&, 0.988, &, 6714
ta087, &, 0.360, &, 6632,&, 1.288, &, 6625,&, 1.313, &, 6625,&, 1.295, &, 6625 ,&, 0.978, &, 6621
ta088, &, 0.355, &, 6739,&, 1.300, &, 6783,&, 1.290, &, 6783,&, 1.283, &, 6783 ,&, 0.980, &, 6783
ta089, &, 0.400, &, 6677,&, 1.305, &, 6707,&, 1.308, &, 6586,&, 1.315, &, 6586 ,&, 0.978, &, 6695
ta090, &, 0.358, &, 6677,&, 1.303, &, 6755,&, 1.293, &, 6755,&, 1.303, &, 6755 ,&, 0.983, &, 6755
ta091, &, 0.735, &, 10942,&, 2.645, &, 10950,&, 2.668, &, 10942,&, 2.668, &, 10968 ,&, 2.020, &, 10950
ta092, &, 0.733, &, 10716,&, 2.680, &, 10704,&, 2.650, &, 10706,&, 2.660, &, 10706 ,&, 2.028, &, 10704
ta093, &, 0.733, &, 11025,&, 2.688, &, 11069,&, 2.660, &, 11069,&, 2.650, &, 11050 ,&, 2.028, &, 11069
ta094, &, 0.735, &, 11057,&, 2.680, &, 11057,&, 2.663, &, 11057,&, 2.663, &, 11057 ,&, 2.025, &, 11057
ta095, &, 0.885, &, 10645,&, 2.660, &, 10627,&, 2.660, &, 10664,&, 2.680, &, 10627 ,&, 2.030, &, 10627
ta096, &, 0.735, &, 10458,&, 2.683, &, 10445,&, 2.675, &, 10445,&, 2.708, &, 10445 ,&, 2.063, &, 10445
ta097, &, 0.945, &, 10989,&, 2.668, &, 10965,&, 2.660, &, 11009,&, 4.908, &, 11009 ,&, 2.035, &, 11009
ta098, &, 0.733, &, 10829,&, 2.653, &, 10828,&, 2.668, &, 10866,&, 2.658, &, 10877 ,&, 2.035, &, 10866
ta099, &, 0.730, &, 10574,&, 2.680, &, 10613,&, 2.678, &, 10624,&, 2.665, &, 10624 ,&, 2.035, &, 10624
ta100, &, 0.730, &, 10807,&, 2.688, &, 10871,&, 2.830, &, 10871,&, 4.768, &, 10780 ,&, 2.030, &, 10871
ta101, &, 1.433, &, 11594,&, 5.188, &, 11617,&, 5.235, &, 11617,&, 5.953, &, 11611 ,&, 5.393, &, 11667
ta102, &, 1.440, &, 11675,&, 5.198, &, 11695,&, 5.198, &, 11695,&, 7.443, &, 11792 ,&, 3.933, &, 11724
ta103, &, 1.428, &, 11852,&, 5.198, &, 11807,&, 5.203, &, 11807,&, 7.468, &, 11807 ,&, 3.930, &, 11807
ta104, &, 1.433, &, 11803,&, 5.225, &, 11810,&, 5.185, &, 11733,&, 7.435, &, 11782 ,&, 3.958, &, 11810
ta105, &, 1.433, &, 11685,&, 5.225, &, 11715,&, 7.430, &, 11715,&, 5.248, &, 11715 ,&, 3.945, &, 11715
ta106, &, 1.433, &, 11629,&, 6.700, &, 11746,&, 5.898, &, 11746,&, 5.188, &, 11764 ,&, 3.930, &, 11746
ta107, &, 3.380, &, 11833,&, 5.490, &, 11809,&, 5.200, &, 11835,&, 5.188, &, 11835 ,&, 6.170, &, 11855
ta108, &, 1.420, &, 11913,&, 5.195, &, 11830,&, 5.163, &, 11830,&, 7.400, &, 11830 ,&, 3.918, &, 11830
ta109, &, 1.433, &, 11673,&, 7.500, &, 11696,&, 5.203, &, 11736,&, 5.183, &, 11689 ,&, 6.155, &, 11696
ta110, &, 1.428, &, 11869,&, 5.180, &, 11798,&, 5.198, &, 11769,&, 7.440, &, 11935 ,&, 3.950, &, 11798
ta111, &, 11.333, &, 26670,&, 37.585, &, 26758,&, 39.723, &, 26818,&, 37.650, &, 26743 ,&, 29.950, &, 26818
ta112, &, 11.263, &, 27232,&, 39.845, &, 27201,&, 39.835, &, 27271,&, 37.558, &, 27271 ,&, 31.755, &, 27201
ta113, &, 9.075, &, 26848,&, 42.037, &, 27024,&, 39.973, &, 27024,&, 39.670, &, 27024 ,&, 33.078, &, 27024
ta114, &, 11.323, &, 27055,&, 40.700, &, 27002,&, 41.108, &, 27091,&, 41.953, &, 27091 ,&, 30.613, &, 27134
ta115, &, 11.355, &, 26727,&, 39.770, &, 26850,&, 40.969, &, 26871,&, 39.770, &, 26871 ,&, 31.895, &, 26850
ta116, &, 12.040, &, 26992,&, 43.114, &, 27106,&, 46.404, &, 27123,&, 46.606, &, 27037 ,&, 34.340, &, 27109
ta117, &, 10.028, &, 26797,&, 46.073, &, 26816,&, 42.646, &, 26854,&, 41.929, &, 26892 ,&, 33.895, &, 26816
ta118, &, 12.965, &, 27138,&, 39.285, &, 27151,&, 44.650, &, 27164,&, 43.941, &, 27140 ,&, 31.450, &, 27151
ta119, &, 12.936, &, 26631,&, 41.375, &, 26664,&, 42.783, &, 26551,&, 47.195, &, 26593 ,&, 33.710, &, 26664
ta120, &, 10.628, &, 26984,&, 42.700, &, 27003,&, 42.333, &, 27048,&, 43.850, &, 27048 ,&, 31.600, &, 26971
